City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bayganin,48.6947,55.8742,87.35,26,56,9.62,KZ,1691252539
1,belmonte,-15.8631,-38.8828,78.55,51,0,6.53,BR,1691252582
2,magadan,59.5667,150.8,53.22,62,100,7.56,RU,1691252582
3,port elizabeth,-33.918,25.5701,72.1,82,0,0.0,ZA,1691252582
4,edinburgh of the seven seas,-37.0676,-12.3116,55.81,79,8,31.36,SH,1691252582
5,chui,-33.6971,-53.4616,59.49,46,0,6.38,UY,1691252582
6,missoula,47.0166,-113.8009,59.85,64,100,1.99,US,1691252400
7,invercargill,-46.4,168.35,42.03,91,78,4.0,NZ,1691252554
8,dzhambeyty,50.2536,52.595,89.47,29,67,8.05,KZ,1691252583
9,kodinsk,58.6881,99.1844,47.25,90,86,1.12,RU,1691252583
10,kanata,45.3159,-75.8985,73.87,67,40,9.22,CA,1691252584
11,albany,42.6001,-73.9662,78.17,68,6,1.99,US,1691252372
12,olonkinbyen,70.9221,-8.7187,38.53,91,100,22.73,SJ,1691252584
13,port-aux-francais,-49.35,70.2167,36.19,71,100,33.31,TF,1691252585
14,cicero dantas,-10.6,-38.3833,83.73,36,3,9.04,BR,1691252585
15,safaga,26.7292,33.9365,91.96,36,0,9.17,EG,1691252585
16,greymouth,-42.4667,171.2,48.11,93,100,2.62,NZ,1691252585
17,margaret river,-33.95,115.0667,48.29,83,100,3.8,AU,1691252585
18,kodiak,57.79,-152.4072,49.51,93,100,3.44,US,1691252586
19,dunay,42.8803,132.3375,65.12,91,100,13.09,RU,1691252586
20,afaahiti,-17.75,-149.2833,71.47,75,10,4.21,PF,1691252586
21,waitangi,-43.9535,-176.5597,42.82,79,98,5.01,NZ,1691252586
22,ban houakhoua,20.2453,100.4547,72.59,100,100,1.23,LA,1691252586
23,tiksi,71.6872,128.8694,36.01,87,100,8.88,RU,1691252587
24,konosu,36.05,139.5167,83.82,66,1,10.18,JP,1691252587
25,hadibu,12.65,54.0333,79.02,77,41,17.02,YE,1691252587
26,guayaquil,-2.1667,-79.9,85.96,62,40,4.61,EC,1691252506
27,hermanus,-34.4187,19.2345,54.81,82,97,4.88,ZA,1691252587
28,ambon,-3.6954,128.1814,77.88,95,97,16.55,ID,1691252588
29,sabang,5.8933,95.3214,83.01,76,87,5.84,ID,1691252588
30,rakops,-21.0167,24.3333,65.91,28,0,6.67,BW,1691252588
31,avarua,-21.2078,-159.775,71.65,78,94,5.75,CK,1691252588
32,bredasdorp,-34.5322,20.0403,54.1,88,80,6.29,ZA,1691252588
33,cabo san lucas,22.8909,-109.9124,89.19,74,75,3.44,MX,1691252459
34,kavaratti,10.5669,72.642,82.38,79,62,18.05,IN,1691252589
35,kapuskasing,49.4169,-82.4331,69.89,56,75,3.44,CA,1691252403
36,grytviken,-54.2811,-36.5092,24.71,81,83,11.68,GS,1691252589
37,longyearbyen,78.2186,15.6401,51.64,93,75,9.22,SJ,1691252433
38,essaouira,31.5125,-9.77,81.9,65,20,6.91,MA,1691252590
39,vilyuchinsk,52.9306,158.4028,53.87,86,0,8.12,RU,1691252590
40,bechar,31.6167,-2.2167,106.12,10,0,4.61,DZ,1691252590
41,kingston,17.997,-76.7936,95.23,63,20,24.16,JM,1691252298
42,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,100,75,4.47,RU,1691252590
43,puerto natales,-51.7236,-72.4875,42.39,81,97,17.9,CL,1691252591
